,leaning,abortion,gunrights,taxwaste,riotsolution,govservices,healthservices
5002,5,1,2,1,5,2,1
7368,5,1,3,1,5,5,3
4354,5,3,3,1,5,1,2
3172,5,2,1,1,6,6,1
7227,5,1,3,1,7,3,3
3491,5,3,1,1,4,5,3
519,5,1,1,1,1,7,3
6686,5,1,3,2,5,1,3
914,5,2,3,2,3,4,3
7613,5,4,1,1,7,5,1
7962,5,4,3,1,4,3,1
422,5,3,1,2,3,3,3
5146,5,2,3,1,5,4,2
5909,5,3,1,1,2,5,1
6447,5,3,3,2,4,2,3
94,5,4,3,1,7,4,3
1546,5,1,1,1,1,4,1
5281,5,3,3,2,4,3,1
5832,5,2,1,1,2,4,3
3367,5,4,1,2,5,4,3
3070,5,1,3,1,5,5,3
1945,5,4,1,1,6,2,2
483,5,4,3,1,3,5,1
5521,5,4,3,1,2,4,3
5708,5,4,2,1,4,3,3
8242,5,2,3,1,1,3,1
429,5,2,3,1,4,3,3
2626,5,4,3,1,6,3,2
581,5,2,3,1,6,2,3
4356,5,4,1,2,7,6,3
2602,5,3,1,1,5,3,3
7744,5,4,3,2,5,3,1
7929,5,3,3,1,7,3,1
3458,5,3,3,2,6,3,3
2099,5,4,3,1,1,5,3
3914,5,1,3,2,4,3,3
2313,5,3,1,2,4,6,1
5677,5,2,3,1,7,2,2
290,5,4,3,2,5,2,3
7589,5,3,1,2,2,5,1
559,5,3,1,2,3,5,1
6395,5,3,3,1,7,6,2
27,5,4,3,1,2,5,3
2554,5,4,3,1,7,1,2
7124,5,2,3,1,4,2,3
4759,5,1,3,1,4,1,3
5239,5,2,3,1,7,1,2
7395,5,2,3,2,6,4,3
3936,5,2,3,1,4,7,1
1286,5,4,1,2,7,3,3
1719,5,1,2,2,5,2,1
7608,5,3,1,1,2,4,3
2534,5,2,1,1,5,3,1
2806,5,1,3,2,7,7,1
7685,5,3,3,1,5,3,3
4844,5,2,3,2,5,7,3
6517,5,1,1,2,1,2,1
7437,5,2,1,1,1,3,3
1752,5,2,3,1,7,1,2
535,5,2,3,2,6,5,3
8228,5,2,3,1,4,4,3
7587,5,1,3,1,3,4,1
6782,5,4,1,1,2,4,3
3579,5,3,3,1,4,3,2
561,5,3,3,1,6,3,3
4715,5,4,1,1,7,2,3
5798,5,2,3,1,5,4,1
2399,5,3,3,2,5,5,3
3022,5,4,3,1,7,3,1
60,5,4,1,1,2,3,1
7426,5,2,3,1,5,3,3
6801,5,4,1,1,4,4,1
341,5,4,1,1,5,2,2
7835,5,3,3,1,4,4,3
1167,5,2,3,2,7,5,2
66,5,2,1,1,1,7,1
482,5,2,3,1,7,1,2
3096,5,2,3,2,3,4,3
4304,5,3,1,1,1,7,2
5181,5,4,1,1,1,5,3
1626,5,4,3,1,5,4,3
616,5,2,1,1,2,4,3
1438,5,4,3,1,6,3,2
2377,5,3,3,1,6,3,3
5498,5,2,2,2,4,3,1
6461,5,4,2,1,5,2,2
7407,5,2,3,1,3,4,1
3386,5,4,1,1,4,4,1
4828,5,4,1,2,1,7,1
6867,5,1,3,1,7,2,2
3182,5,3,3,2,5,3,3
3745,5,3,3,1,3,1,2
6698,5,4,1,1,4,4,1
4346,5,2,1,1,6,1,3
503,5,4,3,1,7,3,3
540,5,2,3,1,1,3,1
124,5,1,1,1,1,7,1
5036,5,2,3,2,7,4,1
4383,5,4,2,1,2,3,3
2451,5,2,1,1,6,4,3
