,leaning,abortion,gunrights,taxwaste,riotsolution,govservices,healthservices
1793,7,2,3,1,7,3,2
5910,7,2,3,1,7,3,3
1956,7,1,3,1,7,1,3
4521,7,2,1,1,7,1,2
1493,7,2,3,1,7,2,3
6498,7,2,3,2,7,4,2
413,7,2,3,2,7,5,3
891,7,1,3,1,6,6,1
1659,7,1,3,1,7,1,2
8195,7,4,1,1,7,1,1
1662,7,1,2,1,7,3,2
5595,7,2,3,1,6,4,3
6132,7,2,2,1,5,2,2
1991,7,2,3,2,1,7,2
1352,7,1,3,1,7,4,1
2841,7,1,1,2,7,2,2
768,7,1,3,2,6,5,3
1565,7,3,2,1,7,1,2
6572,7,1,3,1,6,2,2
1211,7,1,2,1,7,1,2
893,7,2,3,1,6,4,3
6462,7,2,3,1,7,4,1
777,7,1,3,2,4,5,3
5338,7,2,3,1,7,2,2
3234,7,3,3,1,7,2,2
4577,7,2,1,1,7,1,2
5111,7,2,1,1,7,4,3
858,7,1,3,1,7,2,3
513,7,2,3,1,6,1,3
210,7,4,3,1,7,7,3
7687,7,1,3,1,6,2,3
864,7,2,3,1,5,2,3
6564,7,3,3,1,7,4,3
2561,7,2,3,1,7,6,2
706,7,3,3,1,7,4,3
5429,7,2,3,1,7,4,3
6567,7,1,3,1,5,3,2
6863,7,2,2,2,5,5,3
675,7,4,1,1,3,4,3
5360,7,1,3,1,7,2,3
6457,7,2,3,1,7,1,3
3292,7,2,3,1,6,1,2
3500,7,1,3,2,4,4,2
8213,7,4,2,1,7,5,1
4769,7,2,3,1,4,1,2
2923,7,2,1,1,7,1,3
6925,7,2,3,2,7,7,1
7063,7,1,3,2,6,3,3
327,7,3,3,1,7,1,3
747,7,2,1,1,4,2,1
8002,7,2,3,1,5,6,3
7848,7,2,3,2,3,7,1
4809,7,2,1,1,7,1,3
3803,7,2,2,1,7,3,3
5586,7,1,3,1,6,5,1
707,7,2,3,2,4,7,3
734,7,1,3,1,4,3,3
283,7,1,3,1,6,3,2
349,7,2,3,1,5,3,3
453,7,2,2,1,7,1,2
3258,7,2,3,1,7,2,3
5814,7,2,2,1,7,2,2
2268,7,2,3,1,6,2,2
4252,7,1,3,1,7,1,2
2764,7,1,3,1,7,1,3
1316,7,3,3,1,7,1,1
3718,7,1,3,2,7,7,3
5519,7,2,3,1,4,1,2
6495,7,1,3,1,7,1,3
2326,7,2,3,1,6,4,3
4247,7,2,3,1,6,2,2
2136,7,1,2,1,6,2,3
1354,7,3,3,1,6,4,3
1321,7,4,2,1,7,7,1
2739,7,1,2,1,7,1,2
2154,7,2,2,2,7,5,1
6242,7,1,3,2,7,2,3
2541,7,4,3,1,7,1,1
2980,7,1,3,2,7,4,3
3036,7,1,3,1,7,1,3
5504,7,2,3,1,7,2,2
2350,7,2,2,1,7,3,2
2423,7,2,3,1,7,1,3
6676,7,1,1,2,4,4,3
3604,7,1,3,1,7,3,2
3391,7,1,3,1,7,6,3
3766,7,2,3,1,6,1,2
5939,7,2,3,1,7,2,3
81,7,2,3,1,7,2,3
1240,7,1,3,1,7,2,3
1496,7,2,3,3,7,7,2
2195,7,2,3,2,7,3,3
300,7,1,1,1,7,1,1
5059,7,1,3,1,7,1,3
1551,7,1,3,1,7,4,3
2316,7,1,2,1,7,1,2
7204,7,1,3,1,7,4,3
4378,7,2,3,1,7,7,3
407,7,2,2,1,7,1,2
2575,7,1,3,1,6,1,3
