,leaning,abortion,gunrights,taxwaste,riotsolution,govservices,healthservices
1905,3,4,1,2,3,5,1
7112,3,4,1,1,2,4,1
4380,3,3,1,2,4,4,1
6522,3,4,1,2,2,6,1
5437,3,4,1,2,3,6,1
8109,3,3,3,1,2,4,1
6377,3,3,1,1,1,7,1
7964,3,4,1,1,1,6,1
6325,3,4,1,1,1,4,1
2126,3,4,1,1,3,5,1
1072,3,3,1,1,1,5,1
1217,3,4,1,2,3,4,1
3318,3,4,1,2,4,5,3
7695,3,3,3,1,1,5,1
4398,3,3,3,1,1,4,1
1931,3,4,1,1,6,7,1
3837,3,4,3,1,5,5,3
7109,3,4,1,1,1,6,1
406,3,3,1,1,2,4,3
2115,3,4,1,1,4,4,3
1151,3,4,1,1,1,7,1
1037,3,4,1,2,1,5,3
4609,3,4,1,1,1,5,3
4361,3,4,1,2,1,7,1
4312,3,4,3,2,1,4,1
5235,3,2,2,1,4,7,2
4873,3,2,1,2,2,6,1
3413,3,4,1,1,1,5,1
3582,3,3,3,1,1,5,1
713,3,4,3,2,3,5,1
7133,3,4,1,2,1,5,1
3111,3,4,1,1,1,5,1
570,3,1,3,2,7,4,1
5670,3,4,1,1,1,5,3
5856,3,4,1,1,1,6,1
7214,3,4,3,1,1,5,1
7863,3,2,3,2,2,5,1
6001,3,4,1,1,1,5,1
2128,3,4,3,1,2,3,3
1895,3,3,1,1,3,7,1
6841,3,4,1,1,2,6,1
6651,3,3,1,2,1,4,1
4588,3,4,1,2,6,2,3
200,3,4,3,1,2,5,1
2371,3,4,3,2,2,7,1
6254,3,4,1,1,2,5,1
5915,3,4,1,2,1,6,1
3448,3,4,3,1,2,6,1
4692,3,4,1,1,2,5,3
4339,3,4,2,1,1,6,3
5986,3,4,1,1,1,4,1
6913,3,4,1,2,1,4,1
5967,3,4,1,1,2,6,1
1656,3,4,1,2,1,5,3
5493,3,4,3,1,1,5,1
2584,3,4,1,1,1,6,1
623,3,3,3,1,1,7,1
152,3,2,3,2,7,7,1
4539,3,4,3,1,1,7,1
1231,3,4,1,2,2,6,1
4281,3,3,1,1,3,5,3
2230,3,4,1,1,2,4,1
7206,3,4,1,2,1,6,1
1274,3,4,1,1,2,5,1
3462,3,4,3,2,1,6,1
5041,3,4,1,1,1,7,1
5061,3,4,1,2,1,7,1
6992,3,4,1,1,1,6,3
6049,3,4,3,2,2,7,2
5144,3,4,3,1,5,1,3
7240,3,4,3,2,5,5,3
5611,3,1,1,2,2,5,1
5044,3,3,2,1,7,5,1
7130,3,4,1,1,1,4,3
7464,3,4,1,2,2,6,1
6543,3,4,1,1,3,4,1
5114,3,2,1,1,2,6,1
4764,3,3,1,2,1,6,1
7157,3,4,1,2,4,6,3
1912,3,3,3,1,5,5,1
6370,3,4,3,1,2,2,3
6382,3,2,1,1,2,5,1
533,3,4,2,1,6,4,1
309,3,4,1,2,1,7,1
4112,3,4,1,2,4,6,1
93,3,4,1,2,3,6,1
1494,3,4,1,2,4,7,1
4553,3,3,1,2,2,5,1
4170,3,4,1,2,1,5,3
5730,3,2,2,1,2,5,3
5850,3,4,1,1,1,5,1
2650,3,4,1,1,4,4,3
8124,3,3,3,1,1,7,1
5488,3,1,1,1,1,5,1
4348,3,4,3,1,1,7,3
6063,3,4,3,1,6,3,1
1057,3,4,1,1,2,4,2
71,3,4,3,1,5,5,2
2576,3,4,3,2,2,7,3
4474,3,4,1,1,1,3,1
