,leaning,abortion,gunrights,taxwaste,riotsolution,govservices,healthservices
25,2,4,3,1,3,5,1
1946,2,4,1,2,1,6,1
6923,2,4,1,1,1,7,1
1873,2,2,1,1,1,6,1
797,2,4,1,2,1,3,3
5247,2,4,1,1,1,7,1
2,2,4,1,1,4,6,1
5046,2,4,1,1,1,7,1
8012,2,4,1,1,1,7,1
6106,2,3,1,1,2,6,1
1287,2,4,1,1,1,6,1
1169,2,4,1,1,1,4,1
5354,2,4,1,2,1,6,1
3622,2,4,1,2,1,6,1
5286,2,4,1,1,3,5,3
261,2,4,1,1,1,7,1
5356,2,4,1,1,4,4,1
8226,2,4,1,1,1,6,1
1809,2,4,1,1,1,5,3
2463,2,4,1,2,1,7,1
1412,2,4,3,1,1,5,1
7655,2,4,1,2,1,6,1
1332,2,4,1,1,4,4,1
2803,2,4,1,1,1,7,1
2578,2,4,1,1,1,6,1
8108,2,3,1,2,1,5,1
271,2,4,1,1,1,3,1
1957,2,4,1,1,2,5,1
1233,2,4,1,1,1,7,1
2662,2,4,1,2,1,6,1
7984,2,1,1,2,1,6,1
2904,2,4,1,1,1,7,1
1279,2,4,1,1,2,6,1
4275,2,3,1,1,1,6,1
1373,2,4,1,1,1,7,1
171,2,4,1,1,1,6,1
7292,2,4,3,2,1,6,1
1178,2,4,1,1,1,6,1
6416,2,4,1,2,1,5,1
3065,2,4,1,2,1,6,3
165,2,4,1,1,1,6,1
5938,2,4,1,1,1,7,1
7847,2,4,3,1,3,6,3
3282,2,4,1,1,1,6,2
5229,2,3,1,1,1,5,3
6538,2,4,1,2,1,7,1
7892,2,4,1,2,1,4,1
4083,2,4,1,2,1,6,1
252,2,3,1,1,1,5,1
1849,2,4,1,2,2,5,1
7022,2,1,3,1,1,7,1
6720,2,4,1,2,2,5,1
542,2,4,1,2,7,7,3
3227,2,4,1,1,1,5,1
3834,2,4,1,2,3,6,1
5053,2,4,1,1,1,5,1
7735,2,4,1,2,1,6,1
7034,2,4,1,1,1,6,1
916,2,4,1,1,1,5,1
7411,2,4,1,2,1,5,3
5563,2,4,1,1,1,7,1
421,2,4,1,2,1,7,1
6441,2,4,1,2,3,5,1
3325,2,4,1,2,1,7,1
6990,2,4,3,2,1,7,1
5317,2,4,1,1,1,7,1
4704,2,4,1,3,2,6,1
1770,2,4,1,1,2,6,1
5935,2,4,3,2,1,5,1
5178,2,4,1,2,1,6,1
5331,2,4,1,1,7,5,1
5350,2,4,1,2,1,7,1
236,2,3,1,2,1,5,1
3597,2,3,1,1,1,6,1
2191,2,4,1,2,2,6,1
4940,2,4,1,1,1,5,1
2338,2,4,1,1,1,7,1
1322,2,2,1,2,7,6,3
7182,2,4,1,1,1,7,1
1223,2,4,1,1,1,6,1
875,2,4,1,2,1,7,1
5671,2,3,3,1,1,7,3
5288,2,2,1,1,1,7,3
2532,2,4,3,1,1,6,1
4497,2,4,1,2,3,5,1
1827,2,4,1,3,1,5,1
227,2,4,1,1,1,7,1
1474,2,4,1,2,1,6,1
7731,2,4,1,1,4,6,1
3375,2,4,1,1,1,5,1
480,2,4,1,2,2,5,3
7394,2,4,1,2,4,7,1
4443,2,4,1,2,1,6,1
46,2,3,3,2,4,5,1
3041,2,4,1,1,1,7,1
4675,2,4,1,1,1,7,2
2965,2,4,1,1,7,3,3
3060,2,2,1,1,2,5,1
4864,2,4,1,2,2,5,1
5623,2,4,1,1,2,5,3
