,leaning,abortion,gunrights,taxwaste,riotsolution,govservices,healthservices
2716,4,4,1,1,1,5,2
2068,4,3,1,1,3,6,1
8144,4,2,3,1,4,3,2
5844,4,4,1,2,4,5,1
1444,4,3,1,2,4,7,1
729,4,4,1,1,4,5,1
2703,4,1,3,1,2,7,1
4760,4,3,3,1,5,3,1
7444,4,4,1,2,1,5,1
3263,4,4,1,1,5,5,1
4128,4,4,1,1,3,4,1
7252,4,3,1,1,1,5,1
477,4,4,3,2,2,4,1
5033,4,4,3,2,1,5,1
1829,4,1,1,1,3,7,2
956,4,4,1,1,2,4,1
7506,4,3,3,1,4,4,3
2101,4,2,1,2,3,5,1
5892,4,4,1,1,3,4,1
1961,4,1,3,2,3,5,2
6573,4,2,1,1,4,5,1
1624,4,2,1,1,2,5,3
1845,4,2,3,2,4,4,1
6885,4,2,1,2,2,5,1
7800,4,2,3,1,1,7,1
7919,4,3,1,2,2,5,1
3136,4,4,1,1,1,7,1
7749,4,3,1,1,1,5,1
1676,4,4,1,1,5,5,1
3677,4,2,1,1,3,3,1
7672,4,3,3,1,1,7,1
4068,4,4,1,1,1,6,1
7610,4,3,3,1,4,4,1
6306,4,4,1,2,4,5,1
4949,4,2,3,1,7,4,3
3459,4,2,3,1,3,4,3
7343,4,4,3,1,1,3,3
2503,4,3,1,1,3,3,3
7122,4,3,3,1,5,3,3
5388,4,2,3,2,6,6,1
6482,4,3,3,1,3,4,1
6619,4,4,3,1,3,6,1
5372,4,4,3,1,6,4,3
2023,4,2,1,1,5,4,3
5700,4,4,1,1,2,4,3
5661,4,4,1,2,1,7,1
5315,4,1,1,2,1,6,1
838,4,1,3,1,4,4,2
2987,4,2,3,1,4,1,3
3250,4,4,1,1,3,7,1
7727,4,4,1,1,1,4,2
5846,4,2,3,1,1,6,3
7141,4,2,1,1,1,7,3
3921,4,4,1,2,7,5,1
2549,4,2,1,1,5,6,1
7099,4,4,1,1,3,5,1
5109,4,2,1,2,1,7,1
2003,4,4,1,1,1,7,1
231,4,4,1,2,3,4,3
7768,4,4,3,1,1,7,1
2366,4,4,3,1,5,3,3
1358,4,4,1,1,1,6,3
4967,4,2,1,1,1,4,1
5716,4,4,1,2,4,4,1
5330,4,3,3,1,4,1,2
8234,4,1,3,1,7,3,1
1426,4,3,3,2,7,3,1
4700,4,4,3,1,1,4,1
6882,4,3,3,1,1,6,1
5902,4,3,3,1,7,3,3
6853,4,1,1,1,6,4,1
4320,4,4,1,1,1,7,1
4923,4,4,2,2,7,7,1
1916,4,3,3,2,7,4,3
1258,4,4,3,2,4,7,3
97,4,4,1,1,1,4,1
7172,4,3,1,1,6,5,1
7087,4,4,1,2,2,3,3
4111,4,3,1,1,2,3,1
3337,4,2,3,1,5,5,3
3883,4,4,1,1,1,7,1
679,4,4,1,1,3,5,3
6118,4,4,1,2,4,3,2
4821,4,4,1,2,4,7,1
294,4,3,3,1,1,7,1
3958,4,4,1,1,1,7,1
1877,4,4,3,1,4,3,3
2943,4,3,1,1,1,7,1
3719,4,2,1,2,3,6,1
4634,4,4,3,1,1,7,1
4643,4,4,3,1,2,7,1
2282,4,4,3,1,7,5,1
391,4,3,1,2,1,7,1
1866,4,4,1,1,7,3,3
5477,4,3,3,2,4,4,3
967,4,4,1,1,1,5,2
2217,4,4,3,1,4,7,1
5651,4,4,1,2,3,5,1
6431,4,4,1,1,3,6,1
1413,4,4,2,1,4,4,1
